대화엄수좌원통양중대사균여전	대화엄수좌원통양중대사규녀전
신라백지묵서대방광불화엄경	실라백찌묵써대방광불화엄경
감지은니불공견색신변진언경	감지은니불공견색씬변지넌경
약사유리광여래본원공덕경	약싸유리광녀래보눤공덕꼉
짧은아가미미갑갯지렁이	짤브나가미미갑깯찌렁이
대방광원각수다라요의경	대방광원각쑤다라요의경
큰이십팔점박이무당벌레	크니십팔점바기무당벌레
송곳벌레살이납작맵시벌	송곧뻘레사리납짱맵씨벌
고운점박이푸른부전나비	고운점바기푸른부전나비
검정마디꼬리납작맵시벌	검정마디꼬리납짱맵씨벌
어리등에살이뭉툭맵시벌	어리등에사리뭉퉁맵씨벌
법집별행록절요병입사기	법찝뼐행녹쩌료병입싸기
모시금자라남생이잎벌레	모시금자라남생이입뻘레
책상다리황새두렁넘기	책쌍다리황새두렁넘끼
머리대장가는납작벌레	머리대장가는납짝뻘레
동래선생교정북사상절	동내선생교정북싸상절
이십팔점박이무당벌레	이십팔점바기무당벌레
우마양저염역병치료방	우마양저여멱뼝치료방
통리교섭통상사무아문	통니교섭통상사무아문
톱다리개미허리노린재	톱따리개미허리노린재
천수천안대비심다라니	천수처난대비심다라니
천상열차분야지도각석	천상녈차부냐지도각썩
새근발딱새근발딱하다	새근발딱쌔근발따카다
금강반야바라밀경언해	금강바냐바라밀경언해
굵은센털들쥐좀진드기	굴근센털들쮜좀진드기
씨근펄떡씨근펄떡하다	씨근펄떡씨근펄떠카다
씨근벌떡씨근벌떡하다	씨근벌떡씨근벌떠카다
쌔근팔딱쌔근팔딱하다	쌔근팔딱쌔근팔따카다
쌔근발딱쌔근발딱하다	쌔근발딱쌔근발따카다
시근벌떡시근벌떡하다	시근벌떡씨근벌떠카다
게잡이짧은꼬리원숭이	게자비짤븐꼬리원숭이
왕무늬애기잎말이나방	왕무니애기임마리나방
옥색긴꼬리산누에나방	옥쌕낀꼬리산누에나방
염피관음력도심단단괴	염피과늠녁또심단단괴
헐레벌떡헐레벌떡하다	헐레벌떠컬레벌떠카다
할래발딱할래발딱하다	할래발따칼래발따카다
흰빛그늘긴날개명나방	힌빋끄늘긴날개명나방
흰무늬꼬리납작맵시벌	힌무니꼬리납짱맵씨벌
흘근번쩍흘근번쩍하다	흘근번쩌클근번쩌카다
흑가슴검정쇠똥풍뎅이	흑까슴검정쇠똥풍뎅이
훌근번쩍훌근번쩍하다	훌근번쩌쿨근번쩌카다
회색붉은뒷날개밤나방	회색뿔근뒨날개밤나방
화자거집전민추고도감	화자거집쩐민추고도감
혼일강리역대국도지도	호닐강니역때국또지도
혹마디꼬리납작맵시벌	홍마디꼬리납짱맵씨벌
비단꼭지거미불가사리	비단꼭찌거미불가사리
붉은선두리푸른자나방	불근선두리푸른자나방
불수반열반약설교계경	불쑤반녈반냑썰교계경
몽산화상법어약록언해	몽산화상버버양노건해
명진국생불할망본풀이	명진국쌩불할망본푸리
정려해탈등지등지지력	정녀해탈등지등지지력
중허리드는자진한잎	중허리드는자진한닙
주둥무늬차색풍뎅이	주둥무니차색풍뎅이
대반야바라밀다심경	대바냐바라밀따심경
대당서역구법고승전	대당서역꾸법꼬승전
노랑무늬장님노린재	노랑무니장님노린재
노란풀양목갯지렁이	노란푸량목깨찌렁이
네눈박이장님노린재	네눈바기장님노린재
네눈박이산누에나방	네눈바기산누에나방
네눈박이밑빠진벌레	네눈바기믿빠진벌레
내치락들이치락하다	내치락뜨리치라카다
끝마디통통집게벌레	끈마디통통집께벌레
꼬마흰꼬리하루살이	꼬마힌꼬리하루사리
까막바늘까치밥나무	까막빠늘까치밤나무
등에살이뭉뚝맵시벌	등에사리뭉뚱맵씨벌
들이치락내치락하다	드리치랑내치라카다
뒷노랑흰물결자나방	뒨노랑힌물껼자나방
두눈속딱부리반날개	두눈속딱뿌리반날개
동국신속삼강행실도	동국씬속쌈강행실또
